Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
,menu-close,Close menu,Fermer le menu,Maak die menu,Mbylle menu,إغلاق القائمة,Փակել մենյուն,Затворете менюто,關閉菜單,关闭菜单,Zavřete menu,Sluit het menu,Sulge menüü,Schließen Sie das Menü,Κλείστε το μενού,मेनू बंद,Zárja be a menüt,Loka valmynd,Tutup menu,Chiudere il menu,ᓱᔾᔪᑎᑦ ᒪᑐᓕ,メニューを閉じる,메뉴를 닫습니다,Aizveriet izvēlni,Uždaryti meniu,Zamknij menu,Fechar o menu,Fechar o menu,Закройте меню,Zavrite menu,Cierre el menú,ปิดเมนู,Menüyü kapatmak,Закрийте меню,Đóng menu
,overlay-close,Close overlay,Fermer la fenêtre superposée,Maak die oortrek,Mbylle mbulesë,إغلاق تراكب,Փակեք կափարիչ,Затворете наслагването,關閉疊加,关闭叠加,Zavřete se šablonou,Sluit het dialoogvenster,Sulge pop-up,Schließen Sie das Pop-up,Κλείστε το αναδυόμενο παράθυρο,पॉपअप बंद,Zárja be az overlay,Loka yfirlagið,Tutup hamparan,Chiudere la sovrapposizione,ᖃᓕᕇᑦ ᒪᑐᓕ,オーバーレイを閉じる,오버레이에게 닫습니다,Aizveriet pārklāt,Uždaryti perdangos,Zamknij nakładkę,Feche a sobreposição,Feche a sobreposição,Закройте вспомогательных линий,Zavrite so šablónou,Cierre la superposición,ปิดการแสดงข้อมูล,Bindirme kapatmak,Закрийте допоміжних ліній,Đóng lớp phủ
,settings,Settings,Paramètres,Stellings,Cilësimet,إعدادات,Կառավարում,Настройки,目前,设置,Nastavení,Instellingen,Seaded,Einstellungen,Ρυθμίσεις,सेटिंग्स,Beállítások,Stillingar,Pengaturan,Impostazioni,ᐋᖅᑭᑦᓯᒪᐅᑎᑦ,設定,설정,Iestatījumi,Nustatymai,Ustawienia,Configurações,Configurações,настройки,Nastavenie,Configuración,การตั้งค่า,Ayarlar,Налаштування,Cài đặt
,langs,Languages,Langues,Tale,Gjuhë,لغات,Լեզուներ,Езици,語言,语言,Jazyky,Talen,Keeled,Sprachen,Γλώσσες,भाषाएँ,Nyelvek,Tungumál,Bahasa,Lingue,ᐅᖃᐅᓰᑦ,言語,언어,Valodas,Kalbos,Języki,Idiomas,Idiomas,Языки,Jazyky,Idiomas,ภาษา,Diller,Мови,Ngôn ngữ
,about,About,À propos,Oor,Për,حول,Մոտ,За,關於,关于,O,Over,Teave,Über,Σχετικά με,के बारे में,Erről,Um,Tentang,A proposito di,ᐱᔾᔪᑎᖓ,約,약,Par,Apie,O,Sobre,Sobre,О,O,Acerca de,เกี่ยวกับ,Hakkında,Про,Giới thiệu
,current,(current),(actuel),(Huidige),(aktual),(الحالي),(Ընթացիկ),(Текущи),目前,（电流）,(aktuální),(actueel),(praegune),(Aktuell),(Τρέχουσα),(वर्तमान),(jelenlegi),(núverandi),(saat ini),(attuale),(ᒫᓐᓇᐅᔪᖅ),（現在）,(현재),(pašreizējais),(dabartinė),(bieżący),(atual),(atual),(текущая),(aktuálne),(actual),(ปัจจุบัน),(güncel),(поточна),(hiện tại)
,hide,Hide,Masquer,Steek,Fsheh,إخفاء,Թաքցնել,Крия,隱藏,隐藏,Schovat,Verbergen,Peida,Verbergen,Κρύβω,छिपाना,Elrejtés,Fela,Sembunyikan,Nascondere,ᑕᕐᕆᓪᓕ,非表示,숨기기,Slēpt,Slėpti,Ukryj,Ocultar,Ocultar,Скрыть,Schovať,Ocultar,ปิดบัง,Sakla,Сховати,Che
,err,Error,Erreur,Fout,Gabim,خطأ,Սխալ,Грешка,錯誤,错误,Chyba,Fout,Viga,Fehler,Σφάλμα,त्रुटि,Hiba,Villa,Error,Errore,ᑕᒻᒪᕐᓂᖅ,エラー,오류,Kļūda,Klaida,Błąd,Erro,Erro,Ошибка,Chyba,Error,ความผิดพลาด,Hata,Помилка,Lôi
,colon,:,&#160;:,:,:,:,:,:,：,：,:,:,:,:,:,:,:,:,:,:,,：,:,:,:,:,:,:,:,:,:,:,:,:,:
,hyphen, - , - ,[MIXIN] jam yang lalu, - , - , - , - ,-,-, - , - , - , - , - , - , - , - , - , - ,,-, - , - , - , - , - , - , - , - , - ,-, - , - , - 
,full-stop,.,.,.,.,.,.,.,。,。,.,.,.,.,.,.,.,.,.,.,,。,.,.,.,.,.,.,.,.,.,.,.,.,.
,comma-space,", ",", ",", ",", ",، ,", ",", ",，,，,", ",", ",",",", ",", ",", ",", ",", ",", ",", ",,、,", ",", ",", ",", ",", ",", ",", ",", ",", ",", ",", ",",",", "
,space,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#173;,&#173;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,,&#173;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#173;,&#32;,&#32;,&#32;
,start,Start,Lancer,Begin,Fillim,بداية,Սկիզբ,Начало,開始,开始,Zahájit,Beginnen,Alusta,Starten,Εκκίνηση,प्रारंभ,Indítás,Byrja,Mulai,Inizio,ᐱᒋᐊᕐᓕ,開始,출발,Sākt,Pradėti,Rozpocznij,Iniciar,Iniciar,Начать,Začať,Iniciar,เริ่มต้น,Başla,Старт,Bắt đầu
,stop,Stop,Arrêter,Stop,Stop,توقف,Կանգառեք,Спиране,停止,停止,Zastavit,Stoppen,Lõpeta,Stoppen,Σταματήστε,रोक,Leállítás,Stöðva,Stop,Stop,ᓄᖅᑲᕐᓕ,終了,정지,Pārtraukt,Sustoti,Zatrzymaj,Parar,Parar,Стоп,Stop,Detener,หยุด,Bitir,Стоп,Thôi
,back,Back,Précédent,Terug,Prapa,ظهر,Վերադառնալ,Назад,返回,返回,Zpátky,Terug,Tagasi,Zurück,Πίσω,वापस,Vissza,Til baka,Kembali,Indietro,ᐅᑎᕐᓕ,戻る,뒤로,Atpakaļ,Atgal,Wstecz,Anterior,Voltar,Назад,Staré,Volver,กลับ,Geri,Повернутися,Lưng
,cancel,Cancel,Annuler,Kanselleer,Anuloj,إلغاء,Վերացնել,Отказ,取消,取消,Zrušit,Annuleren,Loobu,Kündigen,Ακύρωση,रद्द करें,Mégsem,Hætta við,Batal,Annullare,ᖁᔭᓈᕐᓕ,取消,취소,Atcelt,Atšaukti,Anuluj,Cancelar,Cancelar,Отменить,Zrušiť,Cancelar,ยกเลิก,İptal,Відміна,Hủy bỏ
,show,Show,Afficher,Toon,Shfaq,عرض,Ցուցադրում,Показване,顯示,展示,Ukázat,Toon,Näita,Zeigen,Προβολή,दिखाना,Mutat,Sýna,Tampilkan,Mostra,ᓴᖅᑭᓪᓕ,表示,표시,Rādīt,Rodyti,Pokaż,Exibir,Exibir,Показать,Ukázať,Mostrar,แสดง,Göster,Показати,Hiện
,new-win, (Opens in a new window), (Ouvre dans une nouvelle fenêtre), (Maak in \'n nuwe venster), (Hapet në një dritare të re), (يفتح في نافذة جديدة), (Բացվելու է նոր պատուհանի մեջ), (Отваря се в нов прозорец),用新視窗打開,以新窗口打开, (Otevře se v novém okně), (Opent in een nieuw venster), (Avaneb uues aknas), (Öffnet in einem neuen Fenster), (Ανοίγει σε ένα νέο παράθυρο), (नई विंडो में खुलता है), (Megnyitás új ablakban), (Opnast í nýjum glugga), (Akan terbuka di jendela yang baru), (Si apre in una nuova finestra),(ᓄᑖᒥ ᐃᒐᓛᙳᔭᕐᒥ ᒪᑐᐃᕐᓕ), （新しいウィンドウで開く）, (새 창에서 열립니다), (atveras jaunā logā), (atsidaro naujas puslapis), (Otwiera się w nowym oknie), (Abre em uma nova janela), (Abre em uma nova janela), (Откроется в новом окне), (Otvorí sa v novom okne), (Abre en una nueva ventana), (เปิดในหน้าต่างใหม่), (Yeni pencerede açılır), (відкриється у новому вікні), (Mở trong một cửa sổ mới)
,min-ago,a minute ago,il y a une minute,n minuut gelede,një minutë më parë,منذ دقيقة واحدة,րոպե առաջ,преди минута,一分鐘前,一分钟前,minutou,Een minuut geleden,minut tagasi,Vor einer Minute,ένα λεπτό Πριν από,एक मिनट पहले,egy perce,mínútu síðan,Satu menit yang lalu,un minuto fa,ᐊᑕᐅᓯᕐᒥᒃ ᒥᓇᑦᓯᒥᒃ ᐊᓂᒍᖅᑐᒥᒃ,1分前,분 전,pirms minūtes,Prieš minutę,minutę temu,há um minuto,há um minuto,минуту назад,minútou,hace un minuto,นาทีที่ผ่านมา,bir dakika önce,хвилину тому,một phút trước
,coup-mins,couple of minutes ago,il y a quelques minutes,paar minute gelede,disa minuta më parë,بضع دقائق قبل,մի քանի րոպե առաջ,Преди няколко минути,數分鐘前,一两分钟前,pár minut před,Enkele minuten geleden,mõni minut tagasi,paar Minuten,ζευγάρι των λεπτά πριν,पहले की जोड़ी,pár perce,nokkrar mínútur síðan,Beberapa menit yang lalu,un paio di minuti fa,ᒪᕐᕉᖕᓂᒃ ᒥᓂᑦᓰᖕᓂᒃ ᐊᓂᒍᖅᑑᖕᓂᒃ,数分前,분 전에 몇,pirms dažām minūtēm,Prieš kelias minutes,kilka minut temu,há dois minutos,há dois minutos,пару минут назад,pár minút pred,hace algunos minutos,ไม่กี่นาทีที่ผ่านมา,birkaç dakika önce,декілька хвилин тому,vài phút trước đây
,mins-ago,[MIXIN] minutes ago,il y a [MIXIN] minutes,[MIXIN] minute gelede,[MIXIN] minuta më parë,منذ [MIXIN] دقيقة,[MIXIN] րոպե առաջ,[MIXIN] минути,[MIXIN]分鐘前,[MIXIN]数分钟前,před [MIXIN] minutami,[MIXIN] minuten geleden,[MIXIN] minutit tagasi,Vor [MIXIN] Minuten,Πριν από [MIXIN] λεπτά,[MIXIN] मिनट पहले,[MIXIN] perccel ezelőtt,[MIXIN] mínútur síðan,[MIXIN] menit yang lalu,[MIXIN] Minuti fa,[MIXIN] ᒥᓂᑦᓯᓂ ᐊᓂᒍᖅᑐᓂ,[MIXIN] 分前,[MIXIN] 분전,pirms [MIXIN] minūtēm,Prieš [MIXIN] minutes,[MIXIN] minut temu,há [MIXIN] minutos,há [MIXIN] minutos,[MIXIN] минут назад,pred [MIXIN] minútami,hace [MIXIN] minutos,[MIXIN] นาทีที่ผ่านมา,[MIXIN] dakika önce,[MIXIN] хвилин тому,[MIXIN] phút trước
,hour-ago,an hour ago,il y a une heure,n uur gelede,një orë më parë,قبل ساعة,ժամ առաջ,преди час,一小時前,一小时前,před hodinou,een uur geleden,tund aega tagasi,Vor einer Stunde,μια ώρα πριν από,एक घंटे पहले,egy órával ezelőtt,klukkutíma síðan,Satu jam yang lalu,un\'ora fa,ᐃᑲᕐᕋᓕᒫᒥ ᐊᓂᒍᖅᑐᒥ,1時間前,한 시간 전에,pirms stundas,Prieš valandą,godzinę temu,há uma hora,há uma hora,час назад,pred hodinou,hace una hora,ชั่วโมงที่ผ่านมา,bir saat önce,годину тому,một giờ trước đây
,hours-ago,[MIXIN] hours ago,il y a [MIXIN] heures,[MIXIN] ure gelede,[MIXIN] orë më parë,منذ [MIXIN] ساعات,[MIXIN] ժամ առաջ,[MIXIN] часа преди,[MIXIN]數小時前,[MIXIN]数小时前,před [MIXIN] hodinami,[MIXIN] uren geleden,[MIXIN] tundi tagasi,Vor [MIXIN] Stunden,[MIXIN] ώρες πριν,[MIXIN] घंटे पहले,[MIXIN] órával ezelőtt,[MIXIN] klst síðan,,[MIXIN] ore fa,[MIXIN] ᐃᑲᕐᕋᓂ ᐊᓂᒍᖅᑐᓂ,[MIXIN] 時間前,[MIXIN]시간 전,pirms [MIXIN] stundām,Prieš [MIXIN] valandas,[MIXIN] godzin temu,há [MIXIN] horas,há [MIXIN] horas,[MIXIN] часов назад,pred [MIXIN] hodinami,hace [MIXIN] horas,[MIXIN] ชั่วโมงที่ผ่านมา,[MIXIN] saat önce,[MIXIN] годин тому,[MIXIN] giờ trước
,days-ago,[MIXIN] days ago,il y a [MIXIN] jours,[MIXIN] dae gelede,[MIXIN] ditë më parë,منذ [MIXIN] أيام,[MIXIN] օր առաջ,[MIXIN] дни,[MIXIN]數天前,[MIXIN]数天前,před [MIXIN] dny,[MIXIN] dagen geleden,[MIXIN] päeva tagasi,Vor [MIXIN] Tagen,[MIXIN] μέρες πριν,[MIXIN] दिन पहले,[MIXIN] nappal ezelőtt,[MIXIN] dögum síðan,[MIXIN] hari yang lalu,[MIXIN] giorni fa,[MIXIN] ᐅᓪᓗᓂ ᐊᓂᒍᖅᑐᓂ,[MIXIN] 日前,[MIXIN] 일 전,pirms [MIXIN] dienām,Prieš [MIXIN] dienas,[MIXIN} dni temu,há [MIXIN] dias,há [MIXIN] dias,[MIXIN] дней назад,pred [MIXIN] dňami,hace [MIXIN] días,[MIXIN] วันที่ผ่านมา,[MIXIN] gün önce,[MIXIN] днів тому,[MIXIN] ngày trước
,yesterday,yesterday,hier,gister,dje,أمس,երեկ,вчера,昨天,昨天,včera,gisteren,eile,gestern,εχθές,कल,tegnap,í gær,Kemarin,ieri,ᐃᑉᐸᒃᓴᖅ,昨日,어제,vakar,Vakar,wczoraj,ontem,ontem,вчера,včera,ayer,เมื่อวาน,dün,вчора,hôm qua
,nxt,Next,Suivant,Volgende,Tjetër,التالي,Հաջորդ,Следваща,下一筆,下一个,Další,Volgende,Järgmine,Nächste,Επόμενος,अगला,Következő,Næsta,Berikutnya,Prossimo,ᑭᖑᓪᓕᖅ,次へ,다음,Nākošais,Sekantis,Następny,Próximo,Próximo,Следующий,Ďalšie,Siguiente,ต่อไป,Bir sonraki,Наступний,Tiếp theo
,nxt-r,Next (right arrow key),Suivant (touche droite),Volgende (regs pyltjie sleutel),Tjetër (kyç djathtë arrow),مفتاح السهم الأيمن - التالي,Հաջորդ (աջ սլաքների բանալին),Следваща (дясна стрелка),下一筆（右箭頭鍵）,下一个（右箭头键）,Další (klávesy šipka doleva),Volgende (rechtse pijlen-toets),Järgmine (paremat nooleklahvi),Nächste (rechte Pfeiltaste),Επόμενος (δεξί πλήκτρο βέλους),अगला (सही तीर कुंजी),Következő (jobb nyíl gomb),Næsta (hægri ör lykill),Berikutnya (tombol panah kanan),Prossimo (tasto freccia destra),ᑭᖑᓪᓕᖅ (ᑕᓕᖅᐱᒃ ᖃᕐᔪᙳᐊᖅ),次へ（右矢印キー）,다음 (오른쪽 화살표 키),Nākošais (labo bultiņu taustiņu),Sekantis (rodyklės dešinėn klavišu),Następny (klawisz strzałki w prawo),Próximo (tecla seta para a direita),Próximo (tecla seta para a direita),Следующий (клавишей стрелка вправо),Ďalšie (klávesy šípka vpravo),Siguiente (tecla flecha derecha),ต่อไป (ปุ่มลูกศรขวา),Bir sonraki (sağ ok tuşu),Наступний (клавішею стрілка вправо),Tiếp theo (phím mũi tên bên phải)
,prv,Previous,Précédent,Vorige,I mëparshëm,سابق,Նախորդ,Предишен,上一筆,上一个,Předchozí,Vorige,Eelmine,Früher,Προηγούμενος,पिछला,Előző,Fyrri,Sebelumnya,Precedente,ᑕᐃᒪᐅᕋᑖᖅᑐᒥ,前へ,이전,Lepriekšējais,Ankstenis,Poprzedni,Anterior,Anterior,Предыдущий,Predchádzajúci,Anterior,ก่อน,Bir önceki,Попередній,Trang trước
