id,title,summary,categoryList,bboxKML,bboxWKT,metadataURL
"057a6a16-dda2-50cb-b511-1a453c911025","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-P/13 and part of NTS 115-P/14, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, little-south-klondike-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138,63.75 -137.3333,63.75 -137.3333,64 -138,64 -138,63.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138 63.75,-137.3333 63.75,-137.3333 64,-138 64,-138 63.75))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/057a6a16-dda2-50cb-b511-1a453c911025.xml"
"50b27a79-be19-5509-957e-2267e1aa5d19","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/6 and part of 115-O/7, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, white-river, dome-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-139.25,63 -138.75,63 -138.75,63.4167 -139.25,63.4167 -139.25,63</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-139.25 63,-138.75 63,-138.75 63.4167,-139.25 63.4167,-139.25 63))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/50b27a79-be19-5509-957e-2267e1aa5d19.xml"
"bb694add-c5f2-55ea-8d46-da5259176a11","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/9 and part of NTS 115-O/10, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, dominion-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138.5833,63.5 -138,63.5 -138,63.75 -138.5833,63.75 -138.5833,63.5</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138.5833 63.5,-138 63.5,-138 63.75,-138.5833 63.75,-138.5833 63.5))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/bb694add-c5f2-55ea-8d46-da5259176a11.xml"
"f6077fc7-47c1-57b8-9777-843ea2e82eba","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-I/11 and parts of NTS 115-I/5, 6, 12, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, big-creek, yukon-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-137.8333,62.4667 -137,62.4667 -137,62.75 -137.8333,62.75 -137.8333,62.4667</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-137.8333 62.4667,-137 62.4667,-137 62.75,-137.8333 62.75,-137.8333 62.4667))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/f6077fc7-47c1-57b8-9777-843ea2e82eba.xml"
"2124e2b9-c651-5309-95e0-7b44f51756bd","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/9 and part of NTS 115-O/10, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, dominion-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138.5833,63.5 -138,63.5 -138,63.75 -138.5833,63.75 -138.5833,63.5</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138.5833 63.5,-138 63.5,-138 63.75,-138.5833 63.75,-138.5833 63.5))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/2124e2b9-c651-5309-95e0-7b44f51756bd.xml"
"99fd7646-9744-556c-a1dd-e906835e1519","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/4 and part of 115-O/3, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, white-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-139.9,63 -139.25,63 -139.25,63.25 -139.9,63.25 -139.9,63</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-139.9 63,-139.25 63,-139.25 63.25,-139.9 63.25,-139.9 63))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/99fd7646-9744-556c-a1dd-e906835e1519.xml"
"a1dc3e98-d64e-57ba-9384-db7231493c1e","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/6 and part of 115-O/7, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, white-river, dome-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-139.25,63 -138.75,63 -138.75,63.4167 -139.25,63.4167 -139.25,63</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-139.25 63,-138.75 63,-138.75 63.4167,-139.25 63.4167,-139.25 63))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/a1dc3e98-d64e-57ba-9384-db7231493c1e.xml"
"a2032187-a1b2-55f9-afbd-12b8f1914d2d","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/2 and part of 115-O/3, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, clarke-creek, walhalla-creek, scroggie-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-139.25,63 -138.5,63 -138.5,63.25 -139.25,63.25 -139.25,63</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-139.25 63,-138.5 63,-138.5 63.25,-139.25 63.25,-139.25 63))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/a2032187-a1b2-55f9-afbd-12b8f1914d2d.xml"
"8da34d9b-8665-5b53-8679-c4578d5c310d","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-I/11 and parts of NTS 115-I/5, 6, 12, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, big-creek, yukon-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-137.8333,62.4667 -137,62.4667 -137,62.75 -137.8333,62.75 -137.8333,62.4667</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-137.8333 62.4667,-137 62.4667,-137 62.75,-137.8333 62.75,-137.8333 62.4667))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/8da34d9b-8665-5b53-8679-c4578d5c310d.xml"
"7b379460-bb03-5cd6-aef6-4b3ae076a284","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/8 and part of 115-O/7, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, stewart-river, rosebud-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138.75,63.25 -138,63.25 -138,63.5 -138.75,63.5 -138.75,63.25</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138.75 63.25,-138 63.25,-138 63.5,-138.75 63.5,-138.75 63.25))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/7b379460-bb03-5cd6-aef6-4b3ae076a284.xml"
"dd8eef78-5e34-53e2-ad1d-9e3af23fc8a2","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-P/12 and part of 115-P/11, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, stewart-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138,63.5 -137.4167,63.5 -137.4167,63.75 -138,63.75 -138,63.5</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138 63.5,-137.4167 63.5,-137.4167 63.75,-138 63.75,-138 63.5))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/dd8eef78-5e34-53e2-ad1d-9e3af23fc8a2.xml"
