,%list-comma-space,", ",", ",", ",", ",، ,", ",", ",，,，,", ",", ",", ",", ",", ",", ",", ",", ",", ",,、,", ",", ",", ",", ",", ",", ",", ",", ",,", ",", ",", ",", "
,%interword-space,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#173;,&#173;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,,&#173;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,&#32;,,&#173;,&#32;,&#32;,&#32;
,%start,Start,Lancer,Begin,Fillim,بداية,Սկիզբ,Начало,開始,开始,Zahájit,Beginnen,Alusta,Starten,Εκκίνηση,प्रारंभ,Indítás,Byrja,Mulai,Inizio,開始,출발,Sākt,Pradėti,Rozpocznij,Iniciar,Iniciar,Начать,Začať,Iniciar,เริ่มต้น,Başla,Старт,Bắt đầu
,%stop,Stop,Arrêter,Stop,Stop,توقف,Կանգառեք,Спиране,停止,停止,Zastavit,Stoppen,Lõpeta,Stoppen,Σταματήστε,रोक,Leállítás,Stöðva,Stop,Stop,終了,정지,Pārtraukt,Sustoti,Zatrzymaj,Parar,Parar,Стоп,Stop,Detener,หยุด,Bitir,Стоп,Thôi
,%back,Back,Précédent,Terug,Prapa,ظهر,Վերադառնալ,Назад,返回,返回,Zpátky,Terug,Tagasi,Zurück,Πίσω,वापस,Vissza,Til baka,Kembali,Indietro,戻る,뒤로,Atpakaļ,Atgal,Wstecz,Anterior,Voltar,Назад,Staré,Volver,กลับ,Geri,Повернутися,Lưng
,%new-window,(Opens in a new window),(Ouvre dans une nouvelle fenêtre),(Maak in \'n nuwe venster),(Hapet në një dritare të re),(يفتح في نافذة جديدة),(Բացվելու է նոր պատուհանի մեջ),(Отваря се в нов прозорец),用新視窗打開,以新窗口打开,(Otevře se v novém okně),(Opent in een nieuw venster),(avaneb uues aknas),(Öffnet in einem neuen Fenster),(Ανοίγει σε ένα νέο παράθυρο),(नई विंडो में खुलता है),(Megnyitás új ablakban),(Opnast í nýjum glugga),(Akan terbuka di jendela yang baru),(Si apre in una nuova finestra),（新しいウィンドウで開く）,(새 창에서 열립니다),(atveras jaunā logā),(atsidaro naujas puslapis),(Otwiera się w nowym oknie),(Abre em uma nova janela),(Abre em uma nova janela),(Откроется в новом окне),(Otvorí sa v novom okne),(Abre en una nueva ventana),(เปิดในหน้าต่างใหม่),(Yeni pencerede açılır),(відкриється у новому вікні),(Mở trong một cửa sổ mới)
,%minute-ago,a minute ago,il y a une minute,n minuut gelede,një minutë më parë,منذ دقيقة واحدة,րոպե առաջ,преди минута,一分鐘前,一分钟前,minutou,Een minuut geleden,minut tagasi,Vor einer Minute,ένα λεπτό Πριν από,एक मिनट पहले,egy perce,mínútu síðan,Satu menit yang lalu,un minuto fa,1分前,분 전,pirms minūtes,Prieš minutę,minutę temu,há um minuto,há um minuto,минуту назад,minútou,hace un minuto,นาทีที่ผ่านมา,bir dakika önce,хвилину тому,một phút trước
,%couple-of-minutes,couple of minutes ago,il y a quelques minutes,paar minute gelede,disa minuta më parë,بضع دقائق قبل,մի քանի րոպե առաջ,Преди няколко минути,數分鐘前,一两分钟前,pár minut před,Enkele minuten geleden,mõned minutid tagasi,paar Minuten,ζευγάρι των λεπτά πριν,पहले की जोड़ी,pár perce,nokkrar mínútur síðan,Beberapa menit yang lalu,un paio di minuti fa,数分前,분 전에 몇,pirms dažām minūtēm,Prieš kelias minutes,kilka minut temu,há dois minutos,há dois minutos,пару минут назад,pár minút pred,hace algunos minutos,ไม่กี่นาทีที่ผ่านมา,birkaç dakika önce,декілька хвилин тому,vài phút trước đây
,%minutes-ago,[MIXIN] minutes ago,il y a [MIXIN] minutes,[MIXIN] minute gelede,[MIXIN] minuta më parë,منذ [MIXIN] دقيقة,[MIXIN] րոպե առաջ,[MIXIN] минути,[MIXIN]分鐘前,[MIXIN]数分钟前,před [MIXIN] minutami,[MIXIN] minuten geleden,[MIXIN] minutit tagasi,Vor [MIXIN] Minuten,Πριν από [MIXIN] λεπτά,[MIXIN] मिनट पहले,[MIXIN] perccel ezelőtt,[MIXIN] mínútur síðan,[MIXIN] menit yang lalu,[MIXIN] Minuti fa,[MIXIN] 分前,[MIXIN] 분전,pirms [MIXIN] minūtēm,Prieš [MIXIN] minutes,[MIXIN] minut temu,há [MIXIN] minutos,há [MIXIN] minutos,[MIXIN] минут назад,pred [MIXIN] minútami,hace [MIXIN] minutos,[MIXIN] นาทีที่ผ่านมา,[MIXIN] dakika önce,[MIXIN] хвилин тому,[MIXIN] phút trước
,%hour-ago,an hour ago,il y a une heure,n uur gelede,një orë më parë,قبل ساعة,ժամ առաջ,преди час,一小時前,一小时前,před hodinou,een uur geleden,tund aega tagasi,Vor einer Stunde,μια ώρα πριν από,एक घंटे पहले,egy órával ezelőtt,klukkutíma síðan,Satu jam yang lalu,un\'ora fa,1時間前,한 시간 전에,pirms stundas,Prieš valandą,godzinę temu,há uma hora,há uma hora,час назад,pred hodinou,hace una hora,ชั่วโมงที่ผ่านมา,bir saat önce,годину тому,một giờ trước đây
,%hours-ago,[MIXIN] hours ago,il y a [MIXIN] heures,[MIXIN] ure gelede,[MIXIN] orë më parë,منذ [MIXIN] ساعات,[MIXIN] ժամ առաջ,[MIXIN] часа преди,[MIXIN]數小時前,[MIXIN]数小时前,před [MIXIN] hodinami,[MIXIN] uren geleden,[MIXIN] tundi tagasi,Vor [MIXIN] Stunden,[MIXIN] ώρες πριν,[MIXIN] घंटे पहले,[MIXIN] órával ezelőtt,[MIXIN] klst síðan,[MIXIN] jam yang lalu,[MIXIN] ore fa,[MIXIN] 時間前,[MIXIN]시간 전,pirms [MIXIN] stundām,Prieš [MIXIN] valandas,[MIXIN] godzin temu,há [MIXIN] horas,há [MIXIN] horas,[MIXIN] часов назад,pred [MIXIN] hodinami,hace [MIXIN] horas,[MIXIN] ชั่วโมงที่ผ่านมา,[MIXIN] saat önce,[MIXIN] годин тому,[MIXIN] giờ trước
,%days-ago,[MIXIN] days ago,il y a [MIXIN] jours,[MIXIN] dae gelede,[MIXIN] ditë më parë,منذ [MIXIN] أيام,[MIXIN] օր առաջ,[MIXIN] дни,[MIXIN]數天前,[MIXIN]数天前,před [MIXIN] dny,[MIXIN] dagen geleden,[MIXIN] päeva tagasi,Vor [MIXIN] Tagen,[MIXIN] μέρες πριν,[MIXIN] दिन पहले,[MIXIN] nappal ezelőtt,[MIXIN] dögum síðan,[MIXIN] hari yang lalu,[MIXIN] giorni fa,[MIXIN] 日前,[MIXIN] 일 전,pirms [MIXIN] dienām,Prieš [MIXIN] dienas,[MIXIN} dni temu,há [MIXIN] dias,há [MIXIN] dias,[MIXIN] дней назад,pred [MIXIN] dňami,hace [MIXIN] días,[MIXIN] วันที่ผ่านมา,[MIXIN] gün önce,[MIXIN] днів тому,[MIXIN] ngày trước
,%yesterday,yesterday,hier,gister,dje,أمس,երեկ,вчера,昨天,昨天,včera,gisteren,eile,gestern,εχθές,कल,tegnap,í gær,Kemarin,ieri,昨日,어제,vakar,Vakar,wczoraj,ontem,ontem,вчера,včera,ayer,เมื่อวาน,dün,вчора,hôm qua
,%next,Next,Suivant,Volgende,Tjetër,التالي,Հաջորդ,До,下一筆,下一个,Další,Volgende,Järgmine,Nächste,Επόμενος,अगला,Következő,Næsta,Berikutnya,Prossimo,次へ,다음,Nākošais,Sekantis,Następny,Próxima,Próximo/a,Следующий,Ďalšie,Siguiente,ต่อไป,Bir sonraki,Наступний,Tiếp theo
,%previous,Previous,Précedent,Vorige,I mëparshëm,سابق,Նախորդ,Предишен,上一筆,上一个,Předchozí,Vorige,Eelmine,Früher,Προηγούμενος,पिछला,Előző,Fyrri,Sebelumnya,Precedente,前へ,이전,Lepriekšējais,Ankstenis,Poprzedni,Anterior,Anterior,Предыдущий,Predchádzajúci,Anterior,ก่อน,Bir önceki,Попередній,Trang trước
,%first,First,Premier,Eerste,I parë,الأول,Առաջին,Първи,第一筆,开始,První,Eerste,Esmane,Erste,Πρώτα,पहले,Első,First,Pertama,Primo,最初,처음으로,Pirmā,Pirmasis,Pierwszy,Primeiro,Primeiro/a,Первое,Prvé,Primero,แรก,İlk,Перший,Đầu tiên
,%last,Last,Dernier,Laaste,I fundit,آخر,Անցյալ,Последно,最後一筆,末,Poslední,Laatste,Viimane,Letzte,Τελευταίος,अंतिम,Utolsó,Síðasta,Terakhir,Ultimo,最後,마지막,Pēdējā,Paskutinis,Ostatni,Passado,Último/a,Последнее,Posledný,Último,ล่าสุด,Son,Oстанній,Cuối cùng
Archived Web page template,%archived-page,This Web page has been archived on the Web.,Cette page Web a été archivée dans le Web.,Hierdie webblad is in die argief op die web.,Kjo faqe Web është arkivuar në Web.,وقد حفظت هذه الصفحة على شبكة الإنترنت.,Սույն վեբ կայքի պահոցավորված ցանցին վրայ ենք.,Тази страница е архивиран в мрежата.,此網頁已經封存。,该网页已过期。,Tato webová stránka byla archivována na webu.,Deze pagina is gearchiveerd.,See veebileht on arhiveeritud.,Diese Web-Seite wurde auf der Web archiviert.,Αυτή η σελίδα στο Web έχει αρχειοθετηθεί σχετικά με την στο Web.,इस वेब पेज वेब पर संग्रहीत किया गया है.,Ezt az oldalt az interneten archiváltuk.,Þessi vefsíða hefur verið sett í geymslu á vefnum.,Halaman ini telah diarsip di dalam jejaring.,Questa pagina web è stata archiviata sul web.,このページはウェブ上にアーカイブされています。,이 웹 페이지는 웹에 보관되었습니다.,Šī mājas lapa ir arhivēta.,Šis Web puslapis yra archyvuotas Web\'e.,Ta strona internetowa została zarchiwizowana.,Está página foi arquiva na Web.,Está página foi arquiva na internet.,Эта веб-страница находится в архиве в Интернете.,Táto webová stránka bola archivovaná na webe.,Esta página ha sido archivada en la web.,เวบเพจนี้ได้ถูกเก็บบนเว็บ.,Bu web sitesi web üzerinde arşivlenmiştir.,Цю веб-сторінку було направлено до веб-архіву.,Trang web này đã được lưu trữ trên Web.
Menu bar,%sub-menu-help,(open the submenu with the enter key and close with the escape key),(ouvrir le sous-menu avec la touche d\'entrée et le fermer avec la touche d\'échappement),(maak die submenu met die Enter-sleutel en sluit af met die Escape-sleutel),(hapet submenu me tastin Enter dhe të afërt me kyç shpëtojnë),(فتح القائمة الفرعية مع مفتاح الدخول وثيقة مع مفتاح الهروب),(Բացել ենթացանկը հետ մտնում բանալին եւ փակ է փախչել բանալին),(отворите подменюто с клавиша и в близост с бягство ключ),使用 『確定』鍵進入次選單，離開請按Esc鍵,（以输入键打开子菜单，退出键退出）,(otevřít podnabídku s enter a zavírají s klávesy ESC),(open het submenu via de Enter-toets en sluit het met de Escape-toets af),(ava alamenüü sisene klahviga ja sulge escape klahviga),(Öffnen Sie das Untermenü mit der Eingabetaste und schließen mit der Escape-Taste),(Ανοίξετε το υπομενού με την εισάγετε την κλειδί και στενή με την κλειδί διαφυγής),(कुंजी और भागने की कुंजी के साथ बंद दर्ज सबमेनू खुला),"(Az almenüt az enter billentyűvel tudja lenyitni, és az escape billentyűvel bezárni.)",(opna undirvalmynd með enter og loka með flýja lykill),"(buka submenu dengan menekan tombol ""enter"" dan tutup dengan menekan tombol ""escape"")",(aprire il sottomenu con il tasto Invio e chiudere con il tasto ESC),（サブメニューを開くには「エンター」キーを、閉じるには「Esc」キーを押す。）,(키와 Esc 키와 밀접한 입력으로 하위 메뉴를 엽니 다),(atvērt apakšizvēlni ar enter taustiņu un aizvērt ar escape taustiņu),"(atidaryti submeniu su ""enter"" klavišu, o uždaryti su ""escape"" klavišu)",(dostęp do menu - klawisz Enter; wyjście z menu - klawisz Esc),(abrir o sub-menu com o botão ENTER e fechá-lo com o botão ESC),(abrir o sub-menu com o botão ENTER e fechá-lo com o botão ESC),"(откройте подменю клавишей Ввод, закройте клавишей Escape)",(otvoriť podponuku s enter a zatvárajú s klávesy ESC),"(pulse ""enter"" para abrir el submenú y ciérrelo con la tecla ""esc"")",(เปิดเมนูย่อยที่มีใส่กุญแจและใกล้ชิดกับคีย์หนี),(alt menüyü enter tuşu ile açıp escape tuşu ile kapatınız),(відкрийте підменю клавішею «enter» та закрийте клавішею «escape»),(mở menu con vào quan trọng và gần gũi với phím thoát)
Tabbed interface,%tab-rotation-disable,Stop tab rotation,Arrêter la rotation d\'onglets,Stop tab rotasie,Stop rotacionin tab,ايقاف الدوران علامة التبويب,Կանգ էջանիշը պտույտը,Спри да се върти раздела,旋轉鍵-停止,停止标签旋转,Zastavit kartě otáčení,Stop de tabrotatie,Seiska rotatsioon,Stoppen Registerkarte Drehung,Σταματήστε να περιστροφή καρτέλα,टैब रोटेशन रोकें,Tabulálás engedélyezése,Stöðva flipann snúningur,Hentikan rotasi tab,Arresto rotazione scheda,タブローテーションを停止,탭 회전을 중지,Pārtraukt rotāciju,Sustabdyti rotaciją,Zatrzymaj przewijanie zakładek,Interromper a rotação das abas,Interromper a rotação das abas,Остановить ротацию вкладки,Zastaviť kartu otáčania,Detener rotación de pestañas,หยุดหมุนแท็บ,Tab dönüşünü durdur,Остановить вращение вкладке,Ngừng xoay tab
,%tab-rotation-enable,Start tab rotation,Lancer la rotation d\'onglets,Begin blad rotasie,Fillojnë rrotullimin tab,بدء دوران التبويب,Սկիզբ էջանիշը պտույտը,Започнете въртене раздела,旋轉鍵-啟動,开始标签旋转,Zahájit kartě otáčení,Start de tabrotatie,Alusta rotatsiooni,Starten Registerkarte Drehung,Ξεκινήστε το περιστροφή καρτέλα,टैब रोटेशन प्रारंभ,Tabulálás kikapcsolása,Byrja flipann snúningur,Mulai rotasi tab,Inizio rotazione scheda,タブローテーションを再生,탭 회전을 시작,Sākt rotāciju,Pradėti rotaciją,Rozpocznij przewijanie zakładek,Iniciar a rotação das abas,Iniciar a rotação das abas,Начать ротацию вкладки,Dátum kartu otáčania,Comenzar rotación de pestañas,เริ่มหมุนแท็บ,Tab dönüşünü başlat,Начать закладку вращения,Bắt đầu luân chuyển tab
,%tab-list,Tab list,Liste des onglets,Tab lys,Lista tab,علامة التبويب قائمة,էջանշանը ցուցակ,Списък на разделите,籤頁列表,标签列表,Seznam kartě,Lijst van tabs,Sakk nimekirja,Registerkarte-Liste,Καρτέλα λίστα,टैब सूची,Lap listája,Flipann lista,Tab daftar,Elenco schede,タブリスト,탭 목록,Saraksts cilnes,Skirtukas sąrašas,Lista zakładek,Lista Tab,Lista de Abas,Вкладка списка,Tab Zoznam,Lista de pestañas,รายการแท็บ,Tab listesi,Вкладка списку,Tab danh sách
